CaseId,Gross Sales,Net Sales,Rejected,Receivable,Overdue receivable,Credit Score,Risk Class,Invoice Due Date,Dispute Case,Days Sales Outstanding,Collection Effectiveness Index,Accounts Receivable Turnover Rate,Average Days Delinquent,Delivered on Time,Automation Rate,Cost per 1k Revenue,FTEs per 1Bil Revenue,Credit Reviews per Credit FTE,Data Set
1,27991,27991,0,27991,0,37,Medium,2019-01-23T15:42:54,No,58,59,0.5372,11,Yes,14,2.66,35.74,53.72,Current State
2,81875,81875,0,81875,0,90,Low,2019-01-21T03:22:18,No,58,53.91,0.5390999999999999,11,Yes,14,2.33,35.74,53.91,Current State
3,78837,78837,0,78837,0,85,Low,2019-01-23T07:18:06,No,58,61.90,1.10,11,No,14,2.64,35.06,61.90,Current State
4,44270,44270,0,44270,44270,0,Not evaluated,2019-01-20T08:52:19,No,58,64,0.5171,11,Yes,14,2.40,34.32,51.71,Current State
5,21223,21223,0,21223,21223,39,Medium,2019-02-06T21:47:27,No,58,59,0.6019,11,Yes,14,2.37,35.17,60.19,Current State
6,93466,0,93466,0,0,0,Not evaluated,,No,58,59,0.64,11,Yes,14,2.38,38.69,58.82,Current State
7,21875,21875,0,21875,21875,26,High,2019-02-12T05:41:48,No,58,58,0.51,11,Yes,14,2.43,37.32,91.77,Current State
8,15498,15498,0,15498,0,53,Medium,2019-01-20T23:29:18,No,58,75.22,0.78,11,Yes,14,2.41,37.69,75.22,Current State
9,46811,0,0,0,0,93,Low,2019-01-26T00:34:13,No,58,64,1.18,11,Yes,14,2.78,36.31,56.51,Current State
10,49054,49054,0,49054,49054,6,High,2019-02-04T19:47:57,No,58,56,0.31,11,Yes,14,2.34,34.83,57.89,Current State
11,23164,23164,0,23164,0,0,Not evaluated,2019-01-19T14:58:33,No,58,59,0.5733,11,Yes,14,2.46,37.39,57.33,Current State
12,80981,80981,0,80981,0,85,Low,2019-01-21T05:12:54,No,58,82.12,1.10,11,Yes,14,2.78,35.98,82.12,Current State
13,112409,112409,0,112409,0,90,Low,2019-01-21T06:45:08,No,58,64,0.6678000000000001,11,No,14,2.49,36.77,66.78,Current State
14,95894,95894,0,95894,95894,0,Not evaluated,2019-02-05T10:42:05,No,58,60,0.76,11,Yes,14,2.45,36.10,56.56,Current State
15,106832,106832,0,106832,106832,10,High,2019-01-21T07:38:51,No,58,56,0.5408,11,Yes,14,2.44,36.55,54.08,Current State
16,46119,46119,0,46119,0,38,Medium,2019-01-25T16:42:42,No,58,59,0.7537,11,No,14,2.22,36.52,75.37,Current State
17,40503,40503,0,40503,0,87,Low,2019-01-23T14:56:28,No,58,64,0.7268000000000001,11,Yes,14,2.54,36.76,72.68,Current State
18,82564,82564,0,82564,82564,25,High,2019-01-21T22:51:07,No,58,51.71,0.5171,11,Yes,14,2.74,36.25,51.71,Current State
19,30380,30380,0,30380,0,75,Low,2019-01-26T03:14:43,No,58,73.97,0.7397,11,Yes,14,2.38,35.97,73.97,Current State
20,56131,56131,0,56131,0,35,Medium,2019-01-23T22:06:41,No,58,59,0.6335000000000001,11,Yes,14,2.61,37.15,63.35,Current State
21,100205,100205,0,100205,0,88,Low,2019-01-20T17:58:56,No,58,64,0.6942,11,No,14,2.70,36.04,69.42,Current State
22,74611,74611,0,74611,74611,0,Not evaluated,2019-01-20T00:57:44,No,58,61,0.5379,11,Yes,14,2.22,36.40,53.79,Current State
23,85432,85432,0,85432,0,64,Medium,2019-01-21T08:18:36,No,58,61,0.7498,11,Yes,14,2.37,38.29,74.98,Current State
24,101494,101494,0,101494,101494,67,Medium,2019-02-05T12:53:29,No,58,62,0.92,11,Yes,14,2.36,36.82,56.46,Current State
25,59763,0,0,0,0,0,Not evaluated,2019-01-20T02:45:59,No,58,64,1.17,11,No,14,2.53,37.18,62.78,Current State
26,60958,60958,0,60958,60958,0,Not evaluated,2019-01-25T21:30:06,No,58,57,0.43,11,No,14,2.54,37.70,64.60,Current State
27,99496,0,99496,0,0,0,Not evaluated,,No,58,66.01,0.6601,11,Yes,14,2.50,37.59,66.01,Current State
28,115871,115871,0,115871,0,85,Low,2019-01-20T15:49:21,No,58,64,0.5313,11,Yes,14,2.53,35.84,53.13,Current State
29,28164,0,28164,0,0,0,Not evaluated,,No,58,63,1.06,11,Yes,14,2.32,37.70,55.98,Current State
30,116998,0,0,0,0,0,Not evaluated,2019-01-19T20:10:06,No,58,63,1.00,11,No,14,2.51,37.33,55.70,Current State
31,93407,93407,0,93407,93407,81,Low,2019-01-21T00:30:30,No,58,65.31,1.06,11,Yes,14,2.73,38.32,65.31,Current State
32,15502,15502,0,15502,15502,89,Low,2019-01-21T07:37:49,No,58,64,0.5106,11,No,14,2.79,37.67,51.06,Current State
33,30717,30717,0,30717,0,100,Low,2019-01-20T22:32:40,No,58,65,1.25,11,Yes,14,2.57,37.25,67.53,Current State
34,40869,0,0,0,0,83,Low,2019-01-21T01:53:56,No,58,55.39,1.08,11,Yes,14,2.72,36.84,55.39,Current State
35,105922,105922,0,105922,0,82,Low,2019-01-23T05:41:57,No,58,63,0.5654,11,No,14,2.76,37.37,56.54,Current State
36,112939,112939,0,112939,112939,6,High,2019-02-05T00:53:10,No,58,56,0.31,11,No,14,2.68,34.00,57.56,Current State
37,79029,79029,0,79029,79029,74,Medium,2019-01-20T23:36:32,No,58,72.71,0.7271,11,No,14,2.43,36.43,72.71,Current State
38,19248,19248,0,19248,19248,0,Not evaluated,2019-02-04T11:06:07,No,58,63,0.7125,11,Yes,14,2.54,37.33,71.25,Current State
39,57682,0,0,0,0,18,High,2019-01-26T23:42:33,No,58,58.39,0.5839,11,No,14,2.57,36.88,58.39,Current State
40,51256,51256,0,51256,0,0,Not evaluated,2019-01-24T20:49:58,No,58,62,0.5919,11,Yes,14,2.86,37.34,59.19,Current State
41,76092,0,76092,0,0,0,Not evaluated,,No,58,73.31,0.7331,11,Yes,14,2.78,37.30,73.31,Current State
42,37603,37603,0,37603,0,51,Medium,2019-01-21T01:21:05,No,58,66.30,0.6629999999999999,11,Yes,14,2.90,37.49,66.30,Current State
43,104097,104097,0,104097,0,82,Low,2019-02-04T09:54:36,No,58,63,1.07,11,No,14,2.51,36.80,58.82,Current State
44,93485,0,0,0,0,19,High,2019-01-26T07:01:14,No,58,55.80,0.44,11,Yes,14,2.43,37.01,55.80,Current State
45,41301,41301,0,41301,41301,65,Medium,2019-01-23T18:17:24,No,58,62.04,0.90,11,Yes,14,2.77,34.77,62.04,Current State
46,94179,94179,0,94179,94179,0,Not evaluated,2019-02-06T01:29:58,No,58,62,0.6504000000000001,11,Yes,14,2.45,36.86,65.04,Current State
47,110931,110931,0,110931,0,41,Medium,2019-01-21T13:19:17,No,58,59,0.66,11,Yes,14,2.41,37.77,52.03,Current State
