CaseId,EventName,Timestamp
1,Create Sales Inquiry,2019-01-01T00:00:00
1,Calculate Credit Score,2019-01-01T19:34:01
1,Calculate Risk Class,2019-01-02T15:04:01
1,Request Credit Limit,2019-01-03T03:31:37
1,Create Sales Quotation,2019-01-03T15:16:09
1,Create Sales Order,2019-01-04T11:03:26
1,Change Sales Order,2019-01-06T21:17:49
1,Create Delivery,2019-01-07T13:10:14
1,Execute Picking,2019-01-07T23:03:31
1,Post Goods Issue,2019-01-09T03:39:14
1,Create Invoice,2019-01-09T15:42:54
1,Receive Payment,2019-01-13T09:31:19
2,Create Sales Inquiry,2019-01-01T00:00:08
2,Calculate Credit Score,2019-01-01T20:10:32
2,Calculate Risk Class,2019-01-02T16:40:50
2,Request Credit Limit,2019-01-03T04:51:25
2,Create Sales Quotation,2019-01-03T19:00:31
2,Create Sales Order,2019-01-04T10:21:26
2,Create Delivery,2019-01-05T01:15:53
2,Execute Picking,2019-01-05T10:37:36
2,Post Goods Issue,2019-01-06T13:32:43
2,Create Invoice,2019-01-07T03:22:18
2,Receive Payment,2019-01-10T19:37:50
3,Create Sales Inquiry,2019-01-01T00:00:24
3,Calculate Credit Score,2019-01-01T18:31:18
3,Calculate Risk Class,2019-01-02T09:51:25
3,Request Credit Limit,2019-01-03T00:17:19
3,Create Sales Quotation,2019-01-03T09:53:25
3,Create Sales Order,2019-01-04T03:20:57
3,Change Sales Order,2019-01-06T19:06:18
3,Create Delivery,2019-01-07T14:56:22
3,Execute Picking,2019-01-07T23:10:09
3,Post Goods Issue,2019-01-08T20:07:46
3,Create Invoice,2019-01-09T07:18:06
3,Receive Payment,2019-01-13T06:12:15
4,Create Sales Inquiry,2019-01-01T00:00:49
4,Create Sales Quotation,2019-01-01T16:20:00
4,Create Sales Order,2019-01-02T16:41:52
4,Create Delivery,2019-01-03T13:54:48
4,Execute Picking,2019-01-04T05:28:54
4,Post Goods Issue,2019-01-05T14:04:23
4,Create Invoice,2019-01-06T08:52:19
4,Create Credit Memo Request,2019-01-14T01:22:28
4,Change Invoice,2019-01-16T06:13:38
4,Receive Payment,2019-01-26T21:32:54
5,Create Sales Inquiry,2019-01-01T00:01:22
5,Calculate Credit Score,2019-01-01T19:46:37
5,Calculate Risk Class,2019-01-02T14:48:08
5,Request Credit Limit,2019-01-03T02:59:30
5,Create Sales Quotation,2019-01-03T13:34:11
5,Create Sales Order,2019-01-04T09:06:44
5,Change Sales Order,2019-01-06T10:58:01
5,Create Delivery,2019-01-07T09:04:03
5,Execute Picking,2019-01-07T19:14:48
5,Post Goods Issue,2019-01-09T01:09:54
5,Create Invoice,2019-01-09T17:01:22
5,Create Return Request,2019-01-20T22:23:43
5,Create Delivery,2019-01-21T20:43:38
5,Execute Picking,2019-01-22T09:19:55
5,Post Goods Issue,2019-01-23T08:25:02
5,Create Invoice,2019-01-23T21:47:27
5,Create Credit Memo Request,2019-01-30T08:57:49
5,Change Invoice,2019-02-01T13:34:50
5,Receive Payment,2019-02-11T17:43:04
6,Create Sales Inquiry,2019-01-01T00:02:04
6,Create Sales Quotation,2019-01-01T17:25:36
6,Create Sales Order,2019-01-02T12:38:47
6,Review of Sales Order,2019-01-05T02:59:50
6,Reject Sales Order,2019-01-11T02:03:02
6,Adjust Risk Class,2019-01-18T18:19:58
7,Create Sales Inquiry,2019-01-01T00:02:53
7,Calculate Credit Score,2019-01-01T16:52:50
7,Calculate Risk Class,2019-01-02T10:36:10
7,Request Credit Limit,2019-01-02T22:57:36
7,Create Sales Quotation,2019-01-03T13:16:13
7,Create Sales Order,2019-01-04T09:51:48
7,Change Sales Order,2019-01-06T20:04:04
7,Review of Sales Order,2019-01-09T10:30:48
7,Release Sales Order,2019-01-11T14:28:04
7,Create Delivery,2019-01-12T13:36:07
7,Execute Picking,2019-01-13T03:00:14
7,Post Goods Issue,2019-01-14T04:25:10
7,Create Invoice,2019-01-14T20:36:55
7,Create Return Request,2019-01-26T03:50:57
7,Create Delivery,2019-01-26T23:13:19
7,Execute Picking,2019-01-27T11:25:25
7,Post Goods Issue,2019-01-28T16:16:03
7,Create Invoice,2019-01-29T05:41:48
7,Create Credit Memo Request,2019-02-04T04:18:56
7,Change Invoice,2019-02-06T17:55:27
7,Receive Payment,2019-02-16T22:53:21
8,Create Sales Inquiry,2019-01-01T00:03:51
8,Calculate Credit Score,2019-01-01T14:47:09
8,Calculate Risk Class,2019-01-02T06:52:55
8,Request Credit Limit,2019-01-02T21:15:43
8,Create Sales Quotation,2019-01-03T08:46:40
8,Create Sales Order,2019-01-04T04:13:19
8,Create Delivery,2019-01-04T22:16:55
8,Execute Picking,2019-01-05T10:20:15
8,Post Goods Issue,2019-01-06T10:21:45
8,Create Invoice,2019-01-06T23:29:18
8,Receive Payment,2019-01-10T15:56:35
9,Create Sales Inquiry,2019-01-01T00:04:58
9,Calculate Credit Score,2019-01-01T19:58:36
9,Calculate Risk Class,2019-01-02T11:21:10
9,Request Credit Limit,2019-01-03T03:24:50
9,Create Sales Quotation,2019-01-03T13:09:14
9,Create Sales Order,2019-01-04T08:14:11
9,Review of Sales Order,2019-01-06T18:48:26
9,Release Sales Order,2019-01-09T07:39:23
9,Create Delivery,2019-01-09T22:54:19
9,Execute Picking,2019-01-10T07:53:54
9,Post Goods Issue,2019-01-11T11:20:46
9,Create Invoice,2019-01-12T00:34:13
9,Create Return Request,2019-01-23T10:38:24
9,Receive Return,2019-01-31T05:34:17
9,Cancel Invoice,2019-02-02T07:14:32
10,Create Sales Inquiry,2019-01-01T00:06:12
10,Calculate Credit Score,2019-01-01T18:16:27
10,Calculate Risk Class,2019-01-02T08:54:03
10,Request Credit Limit,2019-01-02T20:09:37
10,Create Sales Quotation,2019-01-03T11:41:24
10,Create Sales Order,2019-01-04T05:38:02
10,Create Delivery,2019-01-05T00:59:23
10,Execute Picking,2019-01-05T14:23:45
10,Post Goods Issue,2019-01-06T14:03:52
10,Create Invoice,2019-01-07T03:52:32
10,Create Return Request,2019-01-18T21:15:29
10,Create Delivery,2019-01-19T14:22:43
10,Execute Picking,2019-01-20T03:58:43
10,Post Goods Issue,2019-01-21T06:31:24
10,Create Invoice,2019-01-21T19:47:57
10,Create Credit Memo Request,2019-01-29T04:41:37
10,Change Invoice,2019-01-31T13:40:55
10,Receive Payment,2019-02-12T01:32:39
11,Create Sales Inquiry,2019-01-01T00:07:35
11,Create Sales Quotation,2019-01-01T13:32:41
11,Create Sales Order,2019-01-02T09:30:51
11,Create Delivery,2019-01-03T09:30:16
11,Execute Picking,2019-01-04T00:09:14
11,Post Goods Issue,2019-01-05T00:26:04
11,Create Invoice,2019-01-05T14:58:33
11,Receive Payment,2019-01-09T01:32:36
12,Create Sales Inquiry,2019-01-01T00:09:06
12,Calculate Credit Score,2019-01-01T20:11:37
12,Calculate Risk Class,2019-01-02T13:20:29
12,Request Credit Limit,2019-01-03T05:27:31
12,Create Sales Quotation,2019-01-03T16:45:01
12,Create Sales Order,2019-01-04T07:44:43
12,Create Delivery,2019-01-05T01:27:08
12,Execute Picking,2019-01-05T09:39:43
12,Post Goods Issue,2019-01-06T14:14:25
12,Create Invoice,2019-01-07T05:12:54
12,Receive Payment,2019-01-10T23:01:04
13,Create Sales Inquiry,2019-01-01T00:10:45
13,Calculate Credit Score,2019-01-01T15:36:20
13,Calculate Risk Class,2019-01-02T12:39:50
13,Request Credit Limit,2019-01-03T01:31:24
13,Create Sales Quotation,2019-01-03T15:41:48
13,Create Sales Order,2019-01-04T11:56:06
13,Create Delivery,2019-01-05T04:23:33
13,Execute Picking,2019-01-05T13:17:13
13,Post Goods Issue,2019-01-06T18:51:56
13,Create Invoice,2019-01-07T06:45:08
13,Receive Payment,2019-01-11T15:06:15
14,Create Sales Inquiry,2019-01-01T00:12:33
14,Create Sales Quotation,2019-01-01T17:52:39
14,Create Sales Order,2019-01-02T17:47:49
14,Create Delivery,2019-01-03T13:53:28
14,Execute Picking,2019-01-04T03:56:28
14,Post Goods Issue,2019-01-05T08:59:12
14,Create Invoice,2019-01-06T05:11:45
14,Create Return Request,2019-01-18T20:52:51
14,Create Delivery,2019-01-19T17:44:54
14,Execute Picking,2019-01-20T08:15:58
14,Post Goods Issue,2019-01-21T17:56:05
14,Create Invoice,2019-01-22T10:42:05
14,Create Dunning,2019-02-12T02:26:14
14,Receive Payment,2019-02-27T08:34:36
15,Create Sales Inquiry,2019-01-01T00:14:29
15,Calculate Credit Score,2019-01-01T16:41:16
15,Calculate Risk Class,2019-01-02T09:30:01
15,Request Credit Limit,2019-01-02T23:11:18
15,Create Sales Quotation,2019-01-03T13:58:57
15,Create Sales Order,2019-01-04T07:57:27
15,Create Delivery,2019-01-05T05:54:07
15,Execute Picking,2019-01-05T18:50:51
15,Post Goods Issue,2019-01-06T19:38:48
15,Create Invoice,2019-01-07T07:38:51
15,Create Credit Memo Request,2019-01-13T02:43:56
15,Change Invoice,2019-01-15T06:28:25
15,Receive Payment,2019-01-27T12:47:55
16,Create Sales Inquiry,2019-01-01T00:16:33
16,Calculate Credit Score,2019-01-01T14:00:32
16,Calculate Risk Class,2019-01-02T10:12:34
16,Request Credit Limit,2019-01-03T00:01:45
16,Create Sales Quotation,2019-01-03T11:33:34
16,Create Sales Order,2019-01-04T03:30:11
16,Review of Sales Order,2019-01-06T06:46:40
16,Release Sales Order,2019-01-08T10:31:07
16,Create Delivery,2019-01-09T03:52:50
16,Execute Picking,2019-01-09T15:57:49
16,Post Goods Issue,2019-01-11T00:13:48
16,Create Invoice,2019-01-11T16:42:42
16,Receive Payment,2019-01-15T13:53:01
17,Create Sales Inquiry,2019-01-01T00:18:46
17,Calculate Credit Score,2019-01-01T16:34:38
17,Calculate Risk Class,2019-01-02T10:30:42
17,Request Credit Limit,2019-01-03T01:06:13
17,Create Sales Quotation,2019-01-03T12:04:26
17,Change Sales Quotation,2019-01-06T01:56:29
17,Create Sales Order,2019-01-06T21:03:53
17,Create Delivery,2019-01-07T14:42:24
17,Execute Picking,2019-01-08T02:06:59
17,Post Goods Issue,2019-01-09T04:21:15
17,Create Invoice,2019-01-09T14:56:28
17,Receive Payment,2019-01-14T03:10:06
18,Create Sales Inquiry,2019-01-01T00:21:06
18,Calculate Credit Score,2019-01-01T17:42:41
18,Calculate Risk Class,2019-01-02T14:03:50
18,Request Credit Limit,2019-01-03T06:05:36
18,Create Sales Quotation,2019-01-03T22:44:07
18,Create Sales Order,2019-01-04T16:12:43
18,Create Delivery,2019-01-05T10:37:15
18,Execute Picking,2019-01-05T23:23:02
18,Post Goods Issue,2019-01-07T08:29:35
18,Create Invoice,2019-01-07T22:51:07
18,Create Dunning,2019-01-23T11:42:14
18,Receive Payment,2019-02-14T12:10:16
19,Create Sales Inquiry,2019-01-01T00:23:35
19,Calculate Credit Score,2019-01-01T20:13:39
19,Calculate Risk Class,2019-01-02T12:46:01
19,Request Credit Limit,2019-01-03T01:48:56
19,Create Sales Quotation,2019-01-03T14:55:04
19,Create Sales Order,2019-01-04T11:14:39
19,Review of Sales Order,2019-01-06T11:22:02
19,Release Sales Order,2019-01-09T07:41:30
19,Create Delivery,2019-01-10T04:42:23
19,Execute Picking,2019-01-10T13:58:06
19,Post Goods Issue,2019-01-11T13:07:01
19,Create Invoice,2019-01-12T03:14:43
19,Receive Payment,2019-01-15T17:25:28
20,Create Sales Inquiry,2019-01-01T00:26:13
20,Calculate Credit Score,2019-01-01T18:07:09
20,Calculate Risk Class,2019-01-02T11:04:09
20,Request Credit Limit,2019-01-03T00:47:12
20,Create Sales Quotation,2019-01-03T11:43:52
20,Create Sales Order,2019-01-04T04:40:30
20,Change Sales Order,2019-01-06T20:03:02
20,Create Delivery,2019-01-07T16:24:27
20,Execute Picking,2019-01-08T02:15:06
20,Post Goods Issue,2019-01-09T05:36:19
20,Create Invoice,2019-01-09T22:06:41
20,Receive Payment,2019-01-13T12:03:15
21,Create Sales Inquiry,2019-01-01T00:28:58
21,Calculate Credit Score,2019-01-01T17:00:05
21,Calculate Risk Class,2019-01-02T14:30:47
21,Request Credit Limit,2019-01-03T01:44:51
21,Create Sales Quotation,2019-01-03T12:28:21
21,Create Sales Order,2019-01-04T03:11:28
21,Create Delivery,2019-01-04T18:19:22
21,Execute Picking,2019-01-05T06:03:33
21,Post Goods Issue,2019-01-06T03:14:41
21,Create Invoice,2019-01-06T17:58:56
21,Receive Payment,2019-01-10T23:54:36
22,Create Sales Inquiry,2019-01-01T00:31:52
22,Create Sales Quotation,2019-01-01T15:29:18
22,Create Sales Order,2019-01-02T08:50:08
22,Create Delivery,2019-01-03T10:28:40
22,Execute Picking,2019-01-03T23:22:27
22,Post Goods Issue,2019-01-05T08:16:44
22,Create Invoice,2019-01-06T00:57:44
22,Create Dunning,2019-01-24T12:54:04
22,Create Dunning,2019-02-11T07:27:39
22,Receive Payment,2019-02-26T14:25:07
23,Create Sales Inquiry,2019-01-01T00:34:54
23,Calculate Credit Score,2019-01-01T15:04:13
23,Calculate Risk Class,2019-01-02T08:11:17
23,Request Credit Limit,2019-01-02T23:56:48
23,Create Sales Quotation,2019-01-03T14:41:29
23,Create Sales Order,2019-01-04T10:01:35
23,Create Delivery,2019-01-05T06:21:29
23,Execute Picking,2019-01-05T15:27:01
23,Post Goods Issue,2019-01-06T21:03:33
23,Create Invoice,2019-01-07T08:18:36
23,Receive Payment,2019-01-11T01:38:29
24,Create Sales Inquiry,2019-01-01T00:38:05
24,Calculate Credit Score,2019-01-01T17:51:25
24,Calculate Risk Class,2019-01-02T12:04:45
24,Request Credit Limit,2019-01-03T00:06:14
24,Create Sales Quotation,2019-01-03T13:41:24
24,Create Sales Order,2019-01-04T06:38:44
24,Create Delivery,2019-01-05T02:24:38
24,Execute Picking,2019-01-05T15:30:37
24,Post Goods Issue,2019-01-06T19:23:27
24,Create Invoice,2019-01-07T10:20:57
24,Create Return Request,2019-01-19T12:02:43
24,Create Delivery,2019-01-20T08:41:21
24,Execute Picking,2019-01-20T21:44:41
24,Post Goods Issue,2019-01-21T22:56:10
24,Create Invoice,2019-01-22T12:53:29
24,Create Credit Memo Request,2019-01-29T00:14:40
24,Change Invoice,2019-01-31T06:40:55
24,Receive Payment,2019-02-10T14:39:13
25,Create Sales Inquiry,2019-01-01T00:41:24
25,Create Sales Quotation,2019-01-01T16:37:05
25,Create Sales Order,2019-01-02T10:36:20
25,Create Delivery,2019-01-03T12:20:45
25,Execute Picking,2019-01-04T03:38:04
25,Post Goods Issue,2019-01-05T12:44:26
25,Create Invoice,2019-01-06T02:45:59
25,Create Return Request,2019-01-18T02:37:50
25,Receive Return,2019-01-24T02:34:39
25,Cancel Invoice,2019-01-26T08:21:31
26,Create Sales Inquiry,2019-01-01T00:44:51
26,Create Sales Quotation,2019-01-01T18:23:46
26,Create Sales Order,2019-01-02T18:09:00
26,Review of Sales Order,2019-01-05T13:45:08
26,Release Sales Order,2019-01-08T03:37:24
26,Create Delivery,2019-01-09T04:43:27
26,Execute Picking,2019-01-09T20:41:26
26,Post Goods Issue,2019-01-11T01:20:48
26,Create Invoice,2019-01-11T21:30:06
26,Create Dunning,2019-01-30T21:39:39
26,Create Dispute Case,2019-02-15T19:07:39
27,Create Sales Inquiry,2019-01-01T00:48:26
27,Create Sales Quotation,2019-01-01T14:11:42
27,Create Sales Order,2019-01-02T10:47:57
27,Review of Sales Order,2019-01-04T08:25:50
27,Reject Sales Order,2019-01-10T21:50:25
28,Create Sales Inquiry,2019-01-01T00:52:09
28,Calculate Credit Score,2019-01-01T15:53:10
28,Calculate Risk Class,2019-01-02T12:01:32
28,Request Credit Limit,2019-01-03T03:23:19
28,Create Sales Quotation,2019-01-03T13:35:21
28,Create Sales Order,2019-01-04T03:37:47
28,Create Delivery,2019-01-04T18:39:55
28,Execute Picking,2019-01-05T03:35:04
28,Post Goods Issue,2019-01-06T03:53:01
28,Create Invoice,2019-01-06T15:49:21
28,Receive Payment,2019-01-09T21:54:12
29,Create Sales Inquiry,2019-01-01T00:56:01
29,Create Sales Quotation,2019-01-01T19:04:02
29,Create Sales Order,2019-01-02T11:52:45
29,Review of Sales Order,2019-01-04T21:45:13
29,Reject Sales Order,2019-01-11T20:35:49
29,Adjust Risk Class,2019-01-19T10:55:58
30,Create Sales Inquiry,2019-01-01T01:00:01
30,Create Sales Quotation,2019-01-01T19:00:46
30,Create Sales Order,2019-01-02T16:19:12
30,Create Delivery,2019-01-03T14:12:38
30,Execute Picking,2019-01-04T03:28:23
30,Post Goods Issue,2019-01-05T05:53:44
30,Create Invoice,2019-01-05T20:10:06
30,Create Return Request,2019-01-18T09:28:23
30,Receive Return,2019-01-25T23:55:12
30,Cancel Invoice,2019-01-28T09:37:40
31,Create Sales Inquiry,2019-01-01T01:04:10
31,Calculate Credit Score,2019-01-01T18:45:05
31,Calculate Risk Class,2019-01-02T14:19:56
31,Request Credit Limit,2019-01-03T04:42:03
31,Create Sales Quotation,2019-01-03T14:49:08
31,Create Sales Order,2019-01-04T05:18:55
31,Create Delivery,2019-01-04T22:16:06
31,Execute Picking,2019-01-05T07:08:38
31,Post Goods Issue,2019-01-06T12:11:49
31,Create Invoice,2019-01-07T00:30:30
31,Create Dunning,2019-01-28T21:14:44
31,Create Dunning,2019-02-19T14:03:35
31,Receive Payment,2019-03-11T13:27:51
32,Create Sales Inquiry,2019-01-01T01:08:26
32,Calculate Credit Score,2019-01-01T21:06:23
32,Calculate Risk Class,2019-01-02T15:24:10
32,Request Credit Limit,2019-01-03T05:23:52
32,Create Sales Quotation,2019-01-03T15:54:51
32,Create Sales Order,2019-01-04T12:02:09
32,Create Delivery,2019-01-05T07:29:00
32,Execute Picking,2019-01-05T17:49:11
32,Post Goods Issue,2019-01-06T16:12:12
32,Create Invoice,2019-01-07T07:37:49
32,Create Credit Memo Request,2019-01-13T13:29:32
32,Change Invoice,2019-01-15T20:59:47
32,Receive Payment,2019-01-26T01:36:46
33,Create Sales Inquiry,2019-01-01T01:12:51
33,Calculate Credit Score,2019-01-01T21:13:01
33,Calculate Risk Class,2019-01-02T15:11:51
33,Request Credit Limit,2019-01-03T02:53:32
33,Create Sales Quotation,2019-01-03T16:46:10
33,Create Sales Order,2019-01-04T09:44:09
33,Create Delivery,2019-01-05T00:43:12
33,Execute Picking,2019-01-05T10:03:24
33,Post Goods Issue,2019-01-06T07:31:42
33,Create Invoice,2019-01-06T22:32:40
33,Receive Payment,2019-01-11T02:51:36
34,Create Sales Inquiry,2019-01-01T01:17:25
34,Calculate Credit Score,2019-01-01T17:05:46
34,Calculate Risk Class,2019-01-02T13:17:04
34,Request Credit Limit,2019-01-03T02:52:42
34,Create Sales Quotation,2019-01-03T13:49:08
34,Create Sales Order,2019-01-04T04:12:43
34,Create Delivery,2019-01-05T01:37:33
34,Execute Picking,2019-01-05T10:02:14
34,Post Goods Issue,2019-01-06T12:05:11
34,Create Invoice,2019-01-07T01:53:56
34,Create Return Request,2019-01-18T09:36:23
34,Receive Return,2019-01-24T21:10:12
34,Cancel Invoice,2019-01-27T05:16:11
35,Create Sales Inquiry,2019-01-01T01:22:06
35,Calculate Credit Score,2019-01-01T16:18:09
35,Calculate Risk Class,2019-01-02T13:41:17
35,Request Credit Limit,2019-01-03T06:07:21
35,Create Sales Quotation,2019-01-03T17:48:36
35,Change Sales Quotation,2019-01-05T22:16:14
35,Create Sales Order,2019-01-06T15:22:02
35,Create Delivery,2019-01-07T06:46:20
35,Execute Picking,2019-01-07T17:05:23
35,Post Goods Issue,2019-01-08T15:11:31
35,Create Invoice,2019-01-09T05:41:57
35,Receive Payment,2019-01-12T15:56:49
36,Create Sales Inquiry,2019-01-01T01:26:56
36,Calculate Credit Score,2019-01-01T16:08:16
36,Calculate Risk Class,2019-01-02T13:09:44
36,Request Credit Limit,2019-01-03T04:39:57
36,Create Sales Quotation,2019-01-03T16:13:48
36,Create Sales Order,2019-01-04T12:19:23
36,Create Delivery,2019-01-05T07:44:04
36,Execute Picking,2019-01-05T18:11:52
36,Post Goods Issue,2019-01-07T01:19:56
36,Create Invoice,2019-01-07T13:58:20
36,Create Return Request,2019-01-18T19:15:31
36,Create Delivery,2019-01-19T14:08:15
36,Execute Picking,2019-01-20T02:24:30
36,Post Goods Issue,2019-01-21T09:07:36
36,Create Invoice,2019-01-22T00:53:10
36,Create Dunning,2019-02-12T22:12:59
36,Create Dunning,2019-03-06T06:23:49
36,Receive Payment,2019-03-26T12:25:52
37,Create Sales Inquiry,2019-01-01T01:31:54
37,Calculate Credit Score,2019-01-01T16:45:13
37,Calculate Risk Class,2019-01-02T11:07:28
37,Request Credit Limit,2019-01-02T23:00:09
37,Create Sales Quotation,2019-01-03T12:35:56
37,Create Sales Order,2019-01-04T04:34:42
37,Create Delivery,2019-01-04T22:29:10
37,Execute Picking,2019-01-05T08:28:16
37,Post Goods Issue,2019-01-06T09:58:42
37,Create Invoice,2019-01-06T23:36:32
37,Create Dunning,2019-01-25T00:42:53
37,Receive Payment,2019-02-09T21:49:42
38,Create Sales Inquiry,2019-01-01T01:37:00
38,Create Sales Quotation,2019-01-01T14:26:12
38,Create Sales Order,2019-01-02T10:52:16
38,Create Delivery,2019-01-03T06:10:54
38,Execute Picking,2019-01-03T20:33:35
38,Post Goods Issue,2019-01-04T22:05:12
38,Create Invoice,2019-01-05T18:15:46
38,Create Return Request,2019-01-18T05:43:08
38,Create Delivery,2019-01-19T05:01:34
38,Execute Picking,2019-01-19T17:21:45
38,Post Goods Issue,2019-01-20T20:00:44
38,Create Invoice,2019-01-21T11:06:07
38,Create Dunning,2019-02-10T00:48:44
38,Create Dunning,2019-03-02T02:54:47
38,Receive Payment,2019-03-23T17:23:37
39,Create Sales Inquiry,2019-01-01T01:42:15
39,Calculate Credit Score,2019-01-01T18:55:39
39,Calculate Risk Class,2019-01-02T15:15:10
39,Request Credit Limit,2019-01-03T03:58:05
39,Create Sales Quotation,2019-01-03T15:20:52
39,Create Sales Order,2019-01-04T07:54:47
39,Review of Sales Order,2019-01-07T01:34:09
39,Release Sales Order,2019-01-09T16:19:10
39,Create Delivery,2019-01-10T12:15:47
39,Execute Picking,2019-01-11T02:36:34
39,Post Goods Issue,2019-01-12T07:21:34
39,Create Invoice,2019-01-12T23:42:33
39,Create Return Request,2019-01-23T19:45:13
39,Receive Return,2019-01-29T06:45:46
39,Cancel Invoice,2019-01-31T20:26:32
40,Create Sales Inquiry,2019-01-01T01:47:38
40,Create Sales Quotation,2019-01-01T20:03:42
40,Create Sales Order,2019-01-02T18:55:40
40,Review of Sales Order,2019-01-05T09:41:54
40,Release Sales Order,2019-01-07T13:22:59
40,Create Delivery,2019-01-08T09:06:53
40,Execute Picking,2019-01-08T21:03:35
40,Post Goods Issue,2019-01-10T05:41:24
40,Create Invoice,2019-01-10T20:49:58
40,Receive Payment,2019-01-14T17:40:19
41,Create Sales Inquiry,2019-01-01T01:53:09
41,Create Sales Quotation,2019-01-01T16:54:25
41,Create Sales Order,2019-01-02T14:50:13
41,Review of Sales Order,2019-01-04T18:29:36
41,Reject Sales Order,2019-01-11T06:11:17
42,Create Sales Inquiry,2019-01-01T01:58:49
42,Calculate Credit Score,2019-01-01T17:41:53
42,Calculate Risk Class,2019-01-02T09:22:19
42,Request Credit Limit,2019-01-02T21:17:04
42,Create Sales Quotation,2019-01-03T09:47:33
42,Create Sales Order,2019-01-04T00:52:52
42,Create Delivery,2019-01-04T22:01:21
42,Execute Picking,2019-01-05T07:49:26
42,Post Goods Issue,2019-01-06T08:51:39
42,Create Invoice,2019-01-07T01:21:05
42,Receive Payment,2019-01-10T15:14:31
43,Create Sales Inquiry,2019-01-01T02:04:36
43,Calculate Credit Score,2019-01-01T16:32:27
43,Calculate Risk Class,2019-01-02T07:12:54
43,Request Credit Limit,2019-01-02T21:47:21
43,Create Sales Quotation,2019-01-03T08:05:22
43,Create Sales Order,2019-01-03T23:28:06
43,Create Delivery,2019-01-04T14:30:27
43,Execute Picking,2019-01-04T23:37:12
43,Post Goods Issue,2019-01-06T03:41:06
43,Create Invoice,2019-01-06T14:58:22
43,Create Return Request,2019-01-18T16:00:55
43,Create Delivery,2019-01-19T10:25:48
43,Execute Picking,2019-01-19T21:15:45
43,Post Goods Issue,2019-01-20T23:29:41
43,Create Invoice,2019-01-21T09:54:36
43,Receive Payment,2019-01-25T02:44:21
44,Create Sales Inquiry,2019-01-01T02:10:32
