,name,isVisible,dataType,processVariableId,filter,__typename,view,process
0,CaseId,True,CASE_ID,,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
1,Activity,True,EVENT_NAME,,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
2,End time,True,END_TIME,,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
3,Accounting Document Segment Primary Key,True,CHOICE,accounting-document-segment-p-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
4,Amount Eligible for Cash Discount in Document Currency,True,NUMBER,amount-eligible-for-cash-disc-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
5,Amount in Document Currency,True,NUMBER,amount-in-document-currency-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
6,Cash Discount Amount in Document Currency,True,NUMBER,cash-discount-amount-in-docum-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
7,Change New Value,True,CHOICE,change-new-value-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
8,Change Number,True,CHOICE,change-number-3,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
9,Change Old Value,True,CHOICE,change-old-value-92,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
10,Change Type,True,CHOICE,change-type-107,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
11,Changed Field,True,CHOICE,changed-field-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
12,Changed Object Id,True,CHOICE,changed-object-id-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
13,Changed Table,True,CHOICE,changed-table-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
14,Converted USD Amount,True,NUMBER,converted-usd-amount-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
15,Converted USD Amount Eligible for Cash Discount,True,NUMBER,converted-usd-amount-eligible-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
16,Converted USD Cash Discount Amount,True,NUMBER,converted-usd-cash-discount-a-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
17,Converted USD Net Payment Amount,True,NUMBER,converted-usd-net-payment-amo-7,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
18,Document Currency,True,CHOICE,document-currency-4,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
19,Event Created By User Id,True,CHOICE,event-created-by-user-id-134,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
20,Event Created By User Type,True,CHOICE,event-created-by-user-type-132,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
21,Inv. Accounting Document Date,True,DATE_TIME,inv-accounting-document-date-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
22,Inv. Accounting Document Number,True,CHOICE,inv-accounting-document-numbe-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
23,Inv. Amount Eligible for Cash Discount in Document Currency,True,NUMBER,inv-amount-eligible-for-cash--38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
24,Inv. Amount in Document Currency,True,NUMBER,inv-amount-in-document-curren-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
25,Inv. Amount in Local Currency,True,NUMBER,inv-amount-in-local-currency-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
26,Inv. Amount in Second Local Currency,True,NUMBER,inv-amount-in-second-local-cu-6,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
27,Inv. Cash Discount Amount in Document Currency,True,NUMBER,inv-cash-discount-amount-in-d-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
28,Inv. Cash Discount Amount in Local Currency,True,NUMBER,inv-cash-discount-amount-in-l-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
29,Inv. Client,True,CHOICE,inv-client-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
30,Inv. Company Code,True,CHOICE,inv-company-code-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
31,Inv. Company Code Text,True,CHOICE,inv-company-code-text-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
32,Inv. Converted USD Amount,True,NUMBER,inv-converted-usd-amount-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
33,Inv. Converted USD Amount Eligible for Cash Discount,True,NUMBER,inv-converted-usd-amount-elig-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
34,Inv. Converted USD Cash Discount Amount,True,NUMBER,inv-converted-usd-cash-discou-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
35,Inv. Creation User,True,CHOICE,inv-creation-user-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
36,Inv. Creation User Type,True,CHOICE,inv-creation-user-type-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
37,Inv. Currency Key,True,CHOICE,inv-currency-key-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
38,Inv. Currency Key for the Group Currency,True,CHOICE,inv-currency-key-for-the-grou-14,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
39,Inv. Currency Key of Second Local Currency,True,CHOICE,inv-currency-key-of-second-lo-14,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
40,Inv. Date,True,DATE_TIME,inv-date-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
41,Inv. Document Status,True,CHOICE,inv-document-status-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
42,Inv. Document Type,True,CHOICE,inv-document-type-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
43,Inv. Document Type Text,True,CHOICE,inv-document-type-text-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
44,Inv. Exchange rate,True,NUMBER,inv-exchange-rate-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
45,Inv. Exchange Rate Type,True,CHOICE,inv-exchange-rate-type-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
46,Inv. Fiscal Year,True,CHOICE,inv-fiscal-year-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
47,Inv. Group Currency Exchange Rate,True,NUMBER,inv-group-currency-exchange-r-14,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
48,Inv. Local Currency,True,CHOICE,inv-local-currency-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
49,Inv. Original Reduction Amount in Local Currency,True,NUMBER,inv-original-reduction-amount-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
50,Inv. Parking Date,True,DATE_TIME,inv-parking-date-6,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
51,Inv. Parking User,True,CHOICE,inv-parking-user-6,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
52,Inv. Posting Document Date,True,DATE_TIME,inv-posting-document-date-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
53,Inv. Reference Key,True,CHOICE,inv-reference-key-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
54,Inv. Reference Transaction,True,CHOICE,inv-reference-transaction-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
55,Inv. Reversal Indicator,True,CHOICE,inv-reversal-indicator-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
56,Inv. Transaction Code,True,CHOICE,inv-transaction-code-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
57,Invoice Due Date,True,DATE_TIME,invoice-due-date-43,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
58,Invoice Line Item,True,CHOICE,invoice-line-item-53,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
